station,timeJ:,t090C:,t190C:,c0uS/cm:,c1uS/cm:,sal00:,sal11:,depSM:,density00:,fluroescence,sbeox0Mm/L:,sbeox0(%sat),v6:,upoly0:,latitude:,longitude:,prDM:,prDE:,flag:
C1,120.705246,9.7121,9.7117,3.67E+04,3.67E+04,33.8304,33.8162,115,1026.6122,2.98E-01,149.465,52.274,0,22.259555,36.78188,-121.93923,115.887,168.08,0
C1,120.705272,9.7086,9.7076,3.67E+04,3.67E+04,33.8297,33.8166,116,1026.6168,3.19E-01,149.198,52.176,0,22.546383,36.78188,-121.93923,116.895,169.542,0
C1,120.705303,9.6988,9.6993,3.67E+04,3.67E+04,33.8336,33.8192,117,1026.6261,2.90E-01,149.189,52.163,0,22.393859,36.78188,-121.93923,117.903,171.004,0
C1,120.705326,9.7023,9.7015,3.67E+04,3.67E+04,33.8344,33.8202,118,1026.6307,3.19E-01,148.978,52.093,0,22.407505,36.78188,-121.93923,118.911,172.466,0
C1,120.705348,9.7097,9.7092,3.67E+04,3.67E+04,33.8394,33.8248,119,1026.6378,3.60E-01,148.81,52.045,0,23.07331,36.78188,-121.93923,119.919,173.928,0
C1,120.705363,9.7089,9.7086,3.67E+04,3.67E+04,33.8442,33.83,120,1026.6463,3.27E-01,148.751,52.025,0,23.006695,36.78188,-121.93923,120.927,175.39,0
C1,120.705388,9.7011,9.7008,3.67E+04,3.67E+04,33.8461,33.8316,121,1026.6536,3.36E-01,149.514,52.283,0,23.112759,36.78188,-121.93923,121.935,176.852,0
C1,120.705422,9.6716,9.6767,3.67E+04,3.67E+04,33.8536,33.8377,122,1026.6691,3.63E-01,151.363,52.899,0,23.063867,36.78188,-121.93923,122.943,178.314,0
C1,120.705448,9.6603,9.6615,3.67E+04,3.67E+04,33.8562,33.8417,123,1026.6775,3.57E-01,152.079,53.136,0,22.932141,36.78188,-121.93923,123.951,179.776,0
C1,120.705475,9.6547,9.6544,3.67E+04,3.67E+04,33.8574,33.8431,124,1026.684,3.48E-01,152.177,53.164,0,23.077753,36.78188,-121.93923,124.959,181.238,0
C1,120.705487,9.6471,9.6465,3.67E+04,3.67E+04,33.8586,33.8446,125,1026.6908,3.54E-01,150.991,52.742,0,23.084149,36.78188,-121.93923,125.967,182.7,0
C1,120.705505,9.6432,9.6424,3.67E+04,3.67E+04,33.8616,33.8475,126,1026.6983,3.30E-01,149.99,52.389,0,23.137614,36.78188,-121.93923,126.975,184.162,0
C1,120.705533,9.6388,9.6383,3.67E+04,3.67E+04,33.8628,33.8484,127,1026.7046,3.41E-01,147.799,51.619,0,23.324024,36.78188,-121.93923,127.983,185.624,0
C1,120.705566,9.634,9.6339,3.67E+04,3.67E+04,33.8636,33.8492,128,1026.7105,3.32E-01,146.074,51.012,0,23.470398,36.78188,-121.93923,128.991,187.086,0
C1,120.705593,9.6307,9.6299,3.67E+04,3.67E+04,33.864,33.8497,129,1026.7159,3.28E-01,145.876,50.939,0,23.66665,36.78188,-121.93923,129.999,188.548,0
C1,120.705616,9.6251,9.6251,3.67E+04,3.67E+04,33.8649,33.8504,130,1026.7222,3.31E-01,145.698,50.871,0,23.974567,36.78188,-121.93923,131.007,190.01,0
C1,120.705634,9.623,9.6223,3.67E+04,3.67E+04,33.8654,33.8513,131,1026.7275,3.57E-01,145.925,50.948,0,24.121759,36.78188,-121.93923,132.016,191.472,0
C1,120.705648,9.6196,9.6191,3.67E+04,3.67E+04,33.8662,33.8519,132,1026.7332,3.67E-01,145.903,50.936,0,24.189354,36.78188,-121.93923,133.024,192.935,0
C1,120.705682,9.612,9.6115,3.67E+04,3.67E+04,33.8665,33.8525,133,1026.7393,3.35E-01,145.392,50.75,0,23.991218,36.78188,-121.93923,134.032,194.397,0
C1,120.705717,9.5839,9.5842,3.67E+04,3.66E+04,33.8699,33.8557,134,1026.7512,3.24E-01,144.72,50.485,0,23.969519,36.78188,-121.93923,135.04,195.859,0
C1,120.705733,9.5619,9.5619,3.66E+04,3.66E+04,33.8743,33.86,135,1026.7629,3.47E-01,144.067,50.235,0,24.042243,36.78188,-121.93923,136.048,197.321,0
C1,120.705751,9.52,9.5201,3.66E+04,3.66E+04,33.8787,33.8644,136,1026.7779,3.36E-01,141.611,49.334,0,24.045736,36.78188,-121.93923,137.056,198.783,0
C1,120.70578,9.5233,9.52,3.66E+04,3.66E+04,33.8776,33.864,137,1026.7811,3.11E-01,137.283,47.829,0,24.600641,36.78188,-121.93923,138.064,200.245,0
C1,120.705812,9.4912,9.4933,3.66E+04,3.66E+04,33.8821,33.8678,138,1026.7945,3.05E-01,137.56,47.894,0,23.923696,36.78188,-121.93923,139.072,201.707,0
C1,120.705832,9.4787,9.4782,3.66E+04,3.66E+04,33.8831,33.8691,139,1026.8018,3.09E-01,136.442,47.492,0,23.902252,36.78188,-121.93923,140.08,203.169,0
C1,120.705847,9.4703,9.4727,3.66E+04,3.66E+04,33.8844,33.8697,140,1026.8088,3.05E-01,135.01,46.985,0,24.596097,36.78188,-121.93923,141.088,204.631,0
C1,120.705883,9.4631,9.4616,3.66E+04,3.66E+04,33.8853,33.8718,141,1026.8154,2.88E-01,132.467,46.093,0,25.487931,36.78188,-121.93923,142.097,206.094,0
C1,120.705906,9.4022,9.4043,3.65E+04,3.65E+04,33.8964,33.8817,142,1026.8386,2.97E-01,131.477,45.691,0,25.349575,36.78188,-121.93923,143.105,207.556,0
C1,120.705933,9.3478,9.3464,3.65E+04,3.65E+04,33.9048,33.8915,143,1026.8588,2.85E-01,123.395,42.834,0,25.454914,36.78188,-121.93923,144.113,209.018,0
C1,120.705958,9.3187,9.3188,3.65E+04,3.64E+04,33.909,33.8949,144,1026.8714,3.13E-01,120.985,41.971,0,25.396458,36.78188,-121.93923,145.121,210.48,0
C1,120.705973,9.3119,9.3114,3.65E+04,3.64E+04,33.9097,33.8956,145,1026.8777,2.89E-01,118.273,41.024,0,25.712706,36.78188,-121.93923,146.129,211.942,0
